,session_start_time,intercept,stim_contrast,stim_contrast_minus_1,response_cw_minus_1,response_cw
27558,2019-09-19T13:02:55Z,1,1.0,0.0,1,True
27559,2019-09-19T13:02:55Z,1,0.25,1.0,1,True
27560,2019-09-19T13:02:55Z,1,-1.0,1.0,1,True
27561,2019-09-19T13:02:55Z,1,0.0,-1.0,1,True
27562,2019-09-19T13:02:55Z,1,0.25,0.0,1,True
27563,2019-09-19T13:02:55Z,1,-0.125,1.0,1,True
27564,2019-09-19T13:02:55Z,1,0.0625,-1.0,1,True
27565,2019-09-19T13:02:55Z,1,1.0,1.0,1,False
27566,2019-09-19T13:02:55Z,1,-0.25,1.0,0,True
27567,2019-09-19T13:02:55Z,1,1.0,-1.0,1,False
27568,2019-09-19T13:02:55Z,1,-1.0,1.0,0,True
27569,2019-09-19T13:02:55Z,1,0.125,-1.0,1,True
27570,2019-09-19T13:02:55Z,1,0.125,1.0,1,True
27571,2019-09-19T13:02:55Z,1,-0.0625,1.0,1,False
27572,2019-09-19T13:02:55Z,1,0.0,-1.0,0,False
27573,2019-09-19T13:02:55Z,1,0.0625,0.0,0,False
27574,2019-09-19T13:02:55Z,1,-0.25,1.0,0,True
27575,2019-09-19T13:02:55Z,1,-0.25,-1.0,1,True
27576,2019-09-19T13:02:55Z,1,1.0,-1.0,1,True
27577,2019-09-19T13:02:55Z,1,-0.25,1.0,1,True
27578,2019-09-19T13:02:55Z,1,0.0,-1.0,1,True
27579,2019-09-19T13:02:55Z,1,0.0625,0.0,1,True
27580,2019-09-19T13:02:55Z,1,0.125,1.0,1,True
27581,2019-09-19T13:02:55Z,1,1.0,1.0,1,False
27582,2019-09-19T13:02:55Z,1,-1.0,1.0,0,True
27583,2019-09-19T13:02:55Z,1,-0.0625,-1.0,1,True
27584,2019-09-19T13:02:55Z,1,-1.0,-1.0,1,True
27585,2019-09-19T13:02:55Z,1,0.125,-1.0,1,True
27586,2019-09-19T13:02:55Z,1,0.125,1.0,1,True
27587,2019-09-19T13:02:55Z,1,0.0625,1.0,1,True
27588,2019-09-19T13:02:55Z,1,0.0625,1.0,1,False
27589,2019-09-19T13:02:55Z,1,0.0625,1.0,0,False
27590,2019-09-19T13:02:55Z,1,0.25,1.0,0,False
27591,2019-09-19T13:02:55Z,1,0.0,1.0,0,False
27592,2019-09-19T13:02:55Z,1,0.0,0.0,0,False
27593,2019-09-19T13:02:55Z,1,0.0,0.0,0,False
27594,2019-09-19T13:02:55Z,1,0.0,0.0,0,False
27595,2019-09-19T13:02:55Z,1,0.0625,0.0,0,False
27596,2019-09-19T13:02:55Z,1,-0.0625,1.0,0,False
27597,2019-09-19T13:02:55Z,1,0.0625,-1.0,0,False
27598,2019-09-19T13:02:55Z,1,-1.0,1.0,0,True
27599,2019-09-19T13:02:55Z,1,0.25,-1.0,1,False
27600,2019-09-19T13:02:55Z,1,0.0,1.0,0,True
27601,2019-09-19T13:02:55Z,1,-0.0625,0.0,1,False
27602,2019-09-19T13:02:55Z,1,0.25,-1.0,0,False
27603,2019-09-19T13:02:55Z,1,0.0625,1.0,0,False
27604,2019-09-19T13:02:55Z,1,1.0,1.0,0,False
27605,2019-09-20T13:24:23Z,1,-0.125,1.0,0,True
27606,2019-09-20T13:24:23Z,1,-0.125,-1.0,1,True
27607,2019-09-20T13:24:23Z,1,1.0,-1.0,1,True
27608,2019-09-20T13:24:23Z,1,-0.125,1.0,1,True
27609,2019-09-20T13:24:23Z,1,0.125,-1.0,1,True
27610,2019-09-20T13:24:23Z,1,0.125,1.0,1,True
27611,2019-09-20T13:24:23Z,1,1.0,1.0,1,True
27612,2019-09-20T13:24:23Z,1,-1.0,1.0,1,True
27613,2019-09-20T13:24:23Z,1,0.0,-1.0,1,True
27614,2019-09-20T13:24:23Z,1,0.0625,0.0,1,True
27615,2019-09-20T13:24:23Z,1,0.125,1.0,1,True
27616,2019-09-20T13:24:23Z,1,0.0,1.0,1,True
27617,2019-09-20T13:24:23Z,1,0.0,0.0,1,True
27618,2019-09-20T13:24:23Z,1,0.125,0.0,1,True
27619,2019-09-20T13:24:23Z,1,1.0,1.0,1,False
27620,2019-09-20T13:24:23Z,1,-0.25,1.0,0,True
27621,2019-09-20T13:24:23Z,1,-0.0625,-1.0,1,True
27622,2019-09-20T13:24:23Z,1,0.0,-1.0,1,True
27623,2019-09-20T13:24:23Z,1,-1.0,0.0,1,True
27624,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27625,2019-09-20T13:24:23Z,1,0.125,-1.0,1,True
27626,2019-09-20T13:24:23Z,1,0.25,1.0,1,True
27627,2019-09-20T13:24:23Z,1,-0.0625,1.0,1,True
27628,2019-09-20T13:24:23Z,1,0.0,-1.0,1,True
27629,2019-09-20T13:24:23Z,1,-0.0625,0.0,1,True
27630,2019-09-20T13:24:23Z,1,0.125,-1.0,1,True
27631,2019-09-20T13:24:23Z,1,-0.25,1.0,1,True
27632,2019-09-20T13:24:23Z,1,0.25,-1.0,1,True
27633,2019-09-20T13:24:23Z,1,0.0,1.0,1,True
27634,2019-09-20T13:24:23Z,1,-0.125,0.0,1,True
27635,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27636,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27637,2019-09-20T13:24:23Z,1,0.125,-1.0,1,True
27638,2019-09-20T13:24:23Z,1,0.125,1.0,1,True
27639,2019-09-20T13:24:23Z,1,-0.25,1.0,1,True
27640,2019-09-20T13:24:23Z,1,1.0,-1.0,1,False
27641,2019-09-20T13:24:23Z,1,-0.25,1.0,0,True
27642,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27643,2019-09-20T13:24:23Z,1,-0.0625,-1.0,1,True
27644,2019-09-20T13:24:23Z,1,-0.125,-1.0,1,True
27645,2019-09-20T13:24:23Z,1,1.0,-1.0,1,True
27646,2019-09-20T13:24:23Z,1,0.0,1.0,1,True
27647,2019-09-20T13:24:23Z,1,0.0,0.0,1,True
27648,2019-09-20T13:24:23Z,1,-0.125,0.0,1,False
27649,2019-09-20T13:24:23Z,1,0.0,-1.0,0,False
27650,2019-09-20T13:24:23Z,1,0.0,0.0,0,False
27651,2019-09-20T13:24:23Z,1,0.25,0.0,0,False
27652,2019-09-20T13:24:23Z,1,0.125,1.0,0,False
27653,2019-09-20T13:24:23Z,1,0.0,1.0,0,False
27654,2019-09-20T13:24:23Z,1,-1.0,0.0,0,True
27655,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27656,2019-09-20T13:24:23Z,1,-1.0,-1.0,1,True
